Municipio ;Departamento;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Entrerrios;Antioquia;92.11222002;115.960025;128.467817;145.9906626;284.8729278;312.0342059;328.220976;358.3868725;398.4318725;402.3809628;419.8378843;539.3924336
Envigado;Antioquia;4120.272443;4693.86224;5528.503009;6083.854017;7021.70513;8624.089518;8737.524356;8983.044416;9229.16502;8493.729452;10012.03858;10926.31815
Fredonia;Antioquia;218.9046417;228.9701633;254.8711351;254.4250576;275.7401949;279.157131;311.4394308;350.584605;366.7911817;371.576294;427.979258;575.3447953
Frontino;Antioquia;133.5228849;165.7687961;163.9328501;172.3294318;164.8012051;175.0854473;176.7260238;193.7049805;218.9612761;282.906155;273.7330109;311.0249321
Giraldo;Antioquia;26.1834918;30.5578517;31.87326808;35.40991163;36.82505443;41.93453309;49.63039713;54.03836285;57.90150215;59.32491038;68.4272474;75.55607202
Girardota;Antioquia;695.3584634;791.7685891;915.2151251;1386.786771;1594.90345;1872.548212;1898.407231;2026.785104;2284.77824;2483.930609;3018.905836;3450.155058
Gomez Plata;Antioquia;197.7243598;215.5790524;223.5220856;212.0723358;233.2483576;272.4418285;286.7229764;319.7420147;350.0830732;371.7491968;431.8153476;451.8463109
Granada;Antioquia;52.02328824;56.69986255;60.58254308;64.7388429;66.83002065;70.98281837;72.96680052;80.50621719;92.07527225;89.70301205;104.1783029;129.1173663
Guadalupe;Antioquia;56.74270097;47.30538277;51.17636774;51.43322265;49.75084061;52.25114864;57.08181618;63.02483634;68.37496533;59.37436852;78.18727753;96.67663778
Guarne;Antioquia;540.9139696;561.6446951;598.3950885;994.0298675;1027.54288;1210.612914;1227.803306;1342.23078;1446.838604;1250.541211;1478.070131;1781.063052
Guatape;Antioquia;176.4250126;184.0148129;192.0528246;221.1297515;227.6786878;295.8926859;311.3979044;338.4330252;373.0674976;387.8102004;444.2320634;571.203933
Heliconia;Antioquia;40.06422743;48.99238883;53.04840194;60.33469763;63.93242303;51.91784866;61.13407707;56.22377081;58.05997229;140.1619532;73.23598763;92.90079665
Hispania;Antioquia;39.05283494;43.9656582;51.22023898;66.30795243;101.6804467;60.44747328;61.92296896;65.19842962;75.14930345;72.96037385;84.69285665;111.7639292
itagui;Antioquia;4749.03742;4988.620446;5046.078925;5394.809323;6364.6515;7140.322132;7229.177026;7573.125022;8227.924207;7589.578026;9330.840216;10856.03784
ituango;Antioquia;139.5515322;182.6509151;179.2278225;193.2141226;190.1583476;209.4840278;223.3620202;234.5028376;250.9147027;235.3893447;292.8735758;362.9126481
Jardin;Antioquia;144.9021903;140.9447389;154.5087509;166.0501596;161.7355727;175.2812106;183.0602238;192.2067446;231.20516;216.0647262;324.778218;389.0976656
Jerico;Antioquia;130.2100397;129.6332436;145.1493021;148.381564;150.7850255;167.5268932;178.23623;198.4664834;218.6378909;227.2770388;313.3185789;395.9832105
La Ceja;Antioquia;383.6059734;450.1578268;451.0994377;461.5692732;573.0553386;616.4438923;735.7435617;793.4779752;903.4112768;856.8724435;1027.341583;1227.25751
La Estrella;Antioquia;991.0828418;1141.873388;1090.570692;1044.544572;1298.390229;1477.644428;1736.323167;1853.50597;1968.667274;1849.346591;2416.950358;2899.492177
La Pintada;Antioquia;108.5110113;111.3899856;112.5943759;129.0558003;128.5718075;145.4930219;159.9649928;195.0002921;210.7296064;164.3896149;176.1759924;237.2969391
La Union;Antioquia;155.1892689;172.9735947;172.4217961;198.6067532;198.5558172;200.7222743;223.9271038;247.6351728;279.9326048;276.3502973;341.6398616;430.6813074
Liborina;Antioquia;72.23477892;68.66210202;75.21539084;78.69432908;79.37326145;85.3355718;97.02164242;95.29060239;107.89908;108.43862;133.0130392;167.6683899
Maceo;Antioquia;75.61884423;72.98624218;72.41718911;78.29532916;77.08291783;91.93347698;89.47162217;98.46144148;104.2294718;110.1820214;137.6343276;172.2277107
Marinilla;Antioquia;653.7670105;568.5719918;603.276068;695.6098822;759.5202589;886.252996;922.5784633;1059.466576;1148.143499;1280.283758;1572.109543;2037.576018
Montebello;Antioquia;90.17639063;102.5541563;103.0119883;117.5761355;131.3904874;116.910291;101.75196;98.72614565;118.3474225;86.43405062;94.29315817;120.9858943
Murindo;Antioquia;16.59810773;24.12924772;26.54408797;36.30286027;33.89148708;35.42833544;38.28170009;38.78141363;48.94600225;46.15109426;52.73367799;61.1519225
Mutata;Antioquia;95.46206707;145.4129379;101.6504498;115.4749647;122.8323486;145.6015825;168.5974073;216.2871354;243.0206896;210.0223558;239.5692215;336.330914
Narino;Antioquia;115.172423;110.9713715;115.3737175;116.0776137;89.5874997;91.41838934;99.73026799;99.81479283;102.5232496;99.56374855;142.9920918;169.9370371
Necocli;Antioquia;277.1446627;304.4177331;316.3079973;348.3303362;376.3745101;420.7256463;454.9655891;477.802097;506.8126965;510.4383489;677.3066815;882.7358883
Nechi;Antioquia;277.7514311;181.5468845;202.671996;201.851414;196.2750061;319.4330288;290.9623857;258.6639853;305.2747576;297.820016;324.2950942;351.984908
Olaya;Antioquia;22.53378885;22.53981287;25.52097483;25.88838799;28.42614875;32.47929668;34.54622145;35.31876937;38.50405288;39.69540197;48.9976342;62.47434933
Penol;Antioquia;155.6639366;193.8558868;193.7286679;249.31922;274.8058219;341.2689047;360.444254;524.416978;464.2972479;497.4783456;587.4042042;740.9390242
Peque;Antioquia;45.21926716;49.94353276;49.76538354;54.90804653;59.96054679;65.36457288;75.80562543;70.98206861;77.60617517;74.12815998;93.94670392;113.2623262
Pueblorrico;Antioquia;72.07958632;71.2214823;76.05270478;82.01672896;74.27358901;78.002636;82.3374127;71.63955331;100.5476633;95.04554266;131.0266215;189.403926
Puerto Berrio;Antioquia;357.0584162;436.8461359;426.4424026;458.029792;453.3520406;498.1538268;584.7560541;588.8957446;663.9203831;650.9553983;755.211342;926.3177673
Puerto Nare;Antioquia;276.043935;316.0582031;436.6342863;422.3109571;370.3685716;380.8741407;387.3368901;446.8262509;481.3662817;435.1814982;551.964509;649.8403126
Puerto Triunfo;Antioquia;152.6529073;152.5978352;135.3969085;156.4772078;151.5908045;167.5155238;173.0191987;193.9759658;199.305155;213.1664045;237.0427189;287.8944246
Remedios;Antioquia;256.5216716;306.5244585;298.6494785;409.5302885;327.7916679;465.3481992;529.0223216;569.8896997;782.9124962;1132.282042;1543.154244;1208.651715
Retiro;Antioquia;239.9866304;233.0053671;291.6491092;352.2457097;328.5793448;357.905006;423.0414921;454.4357589;510.2680959;548.988639;602.9578776;845.009607
Rionegro;Antioquia;2178.632901;2245.431964;2340.046027;2684.778447;3001.174463;2920.799315;3178.500778;3530.085767;3941.253538;3620.190214;4514.633474;5434.802178
Sabanalarga;Antioquia;46.82208169;52.28148442;65.82605749;76.51491628;71.64413758;72.65031311;89.77126859;81.65800725;85.91788714;82.81820063;104.4521506;127.7866493
Sabaneta;Antioquia;1558.181764;1695.42196;1762.160138;1999.980622;2444.741229;3000.857477;3107.565509;3233.618465;3398.657445;3120.507155;3571.596032;4155.109288
Salgar;Antioquia;138.8763349;132.2077251;175.2172422;187.827533;171.9272763;212.5033078;248.350617;232.4595282;253.4354246;261.9499505;384.4445391;434.8159078
San Andres ;Antioquia;43.49925404;49.02265053;50.64818197;52.51690959;56.63292265;65.77068386;52.47102904;56.39448232;75.88554682;73.99238157;94.10687354;110.9720787
San Carlos;Antioquia;480.7285426;520.370919;522.9230837;546.307687;574.5563487;671.2070581;687.9753653;758.8874259;820.4736868;888.7721054;1020.18982;1190.718697
San Francisco;Antioquia;31.23731461;35.85365485;37.38879397;39.18287397;39.5663047;70.07928364;70.37083809;65.3328442;70.39384523;71.40016728;85.3348242;77.18525459
San Jeronimo;Antioquia;114.6202272;126.8859519;132.7550718;140.2874527;165.8426366;162.1365318;169.5623352;203.7646666;212.1739725;191.9043485;224.2480326;281.7093609
